Capture-Date,Name,Record,Height,Weight(lbs),Reach,Stance,DOB,Sig. Strikes Landed,Sig. Strikes Accuracy,Sig. Strikes Absorbed,Sig. Strike Defence,Take Down Averge,Take Down Accuracy,Take Down Defense,Submission Averge,
2020-06-25 23:33:35.460882,Adli Edwards,4-1-0,,145,,,Aug 28 1989,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:33:35.684591,Tom Egan,7-5-0,5-11,170,,Orthodox,,0.00,0%,3.91,50%,0.00,0%,28%,0.0,
2020-06-25 23:33:35.953763,Justin Eilers,19-7-1,6-1,235,,Orthodox,Jun 28 1978,2.86,43%,5.66,49%,0.82,25%,50%,0.0,
2020-06-25 23:33:36.309785,Jon Olav Einemo,6-3-0,6-6,253,,Orthodox,Dec 10 1975,2.15,52%,3.05,52%,1.73,55%,43%,0.0,
2020-06-25 23:33:36.584725,Per Eklund,14-5-1,5-10,155,72,Orthodox,,2.07,61%,2.38,67%,2.07,11%,50%,3.6,
2020-06-25 23:33:36.846318,John Elam,2-0-0,,,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:33:37.092101,John Paul Elias,3-1-0,6-4,205,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:33:37.342382,Saul Elizondo,6-8-0,5-7,135,,,Jul 17 1985,2.07,30%,4.93,48%,2.00,100%,66%,1.0,
2020-06-25 23:33:37.572260,Darren Elkins,25-9-0,5-10,145,71,Orthodox,May 16 1984,3.54,37%,3.09,52%,2.43,33%,58%,1.2,
2020-06-25 23:33:37.925450,Jake Ellenberger,31-15-0,5-9,170,71,Orthodox,Mar 28 1985,2.47,39%,2.83,60%,2.04,47%,86%,0.4,
2020-06-25 23:33:38.294503,Joe Ellenberger,15-2-0,5-9,155,72,Orthodox,Mar 28 1985,1.62,47%,3.45,48%,3.17,40%,0%,1.1,
2020-06-25 23:33:38.626598,Tim Elliott,16-11-1,5-7,125,66,Southpaw,Dec 24 1986,3.41,46%,2.53,60%,4.31,55%,58%,1.2,
2020-06-25 23:33:38.984757,Eddy Ellis,21-16-1 (1 NC),5-9,170,,Orthodox,,3.40,69%,1.53,68%,4.00,66%,50%,2.0,
2020-06-25 23:33:39.234111,Lisa Ellis,15-11-0,5-4,115,,,Nov 15 1982,1.68,48%,2.32,57%,4.19,63%,50%,0.6,
2020-06-25 23:33:39.502597,Anna Elmose,3-2-0,5-3,115,,Orthodox,Oct 06 1984,3.68,49%,4.64,56%,0.00,0%,33%,0.0,
2020-06-25 23:33:39.756517,Aaron Ely,5-2-0,5-8,135,,,Mar 18 1989,0.82,15%,0.66,69%,2.47,100%,50%,4.9,
2020-06-25 23:33:39.974548,Ramazan Emeev,18-4-0,5-10,170,76,Southpaw,May 23 1987,2.38,43%,1.73,70%,1.50,22%,80%,0.2,
2020-06-25 23:33:40.233990,Aleksander Emelianenko,23-7-0,6-6,255,,Orthodox,Aug 02 1981,2.75,41%,1.70,65%,2.32,72%,66%,0.9,
2020-06-25 23:33:40.557658,Fedor Emelianenko,36-5-0 (1 NC),6-0,230,74,Orthodox,Sep 28 1976,3.18,51%,1.00,63%,2.00,63%,82%,1.9,
2020-06-25 23:33:40.991442,Rob Emerson,18-12-0 (1 NC),5-9,155,70,Orthodox,Jul 30 1981,2.50,30%,2.83,64%,2.02,52%,65%,0.4,
2020-06-25 23:33:41.281767,Jamall Emmers,17-5-0,5-10,145,74,Orthodox,Jul 24 1989,4.96,52%,4.35,58%,1.42,33%,100%,0.0,
2020-06-25 23:33:41.558240,Josh Emmett,16-2-0,5-6,145,70,Orthodox,Mar 04 1985,4.32,39%,4.02,63%,1.43,47%,50%,0.1,
2020-06-25 23:33:41.856927,Marius Enache,3-3-0,5-11,155,,,Oct 16 1975,1.71,34%,0.66,84%,3.94,100%,0%,3.9,
2020-06-25 23:33:42.080861,Kevin Engel,5-1-0,6-2,170,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:33:42.332483,Oliver Enkamp,7-2-0,6-0,170,77,Switch,Aug 10 1991,2.38,36%,3.55,37%,0.87,16%,0%,0.0,
2020-06-25 23:33:42.603813,Alex Enlund,14-2-0 (1 NC),5-10,145,,Orthodox,May 27 1987,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:33:42.875340,Kenny Ento,14-15-0,6-2,192,,,,8.41,79%,0.00,100%,5.49,100%,0%,11.0,
2020-06-25 23:33:43.138425,Ian Entwistle,9-3-0,5-5,135,,Orthodox,Nov 19 1986,0.11,7%,7.36,31%,0.00,0%,0%,12.1,
2020-06-25 23:33:43.403589,Andy Enz,10-4-0,6-3,185,78,Orthodox,Aug 15 1991,3.51,23%,5.32,57%,0.00,0%,58%,0.0,
2020-06-25 23:33:43.644568,Won Jin Eoh,5-5-1,5-7,160,,Orthodox,,3.74,44%,3.58,46%,0.00,0%,50%,0.0,
2020-06-25 23:33:43.885999,Josh Epps,6-7-0,,130,,,Aug 23 1986,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:33:44.109220,Tom Erikson,9-4-1,6-3,280,,Orthodox,,0.94,47%,1.87,25%,4.68,60%,100%,6.2,
2020-06-25 23:33:44.386931,Konstantin Erokhin,9-3-0,5-11,230,,Orthodox,Jan 31 1983,1.07,36%,1.83,47%,0.00,0%,70%,0.0,
2020-06-25 23:33:44.630454,Julian Erosa,22-9-0,6-1,145,74,Southpaw,Jul 31 1989,4.18,45%,5.04,50%,0.83,60%,58%,0.8,
2020-06-25 23:33:44.887416,Nick Ertl,8-6-0,5-9,155,,,,1.34,69%,1.59,41%,1.88,50%,0%,0.0,
2020-06-25 23:33:45.154464,Chel Erwin-Davis,5-1-0,6-0,170,,,,4.06,54%,1.13,61%,4.25,100%,50%,1.4,
2020-06-25 23:33:45.393444,Bobby Escalante,5-6-0,,130,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:33:45.627213,Eric Esch,15-10-1,5-11,350,,Orthodox,Aug 03 1968,3.07,71%,1.74,43%,0.00,0%,0%,2.0,
2020-06-25 23:33:45.867102,Pro Escobedo,1-0-0,,205,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:33:46.086558,Cole Escovedo,17-9-0,5-7,135,72,Orthodox,Aug 30 1981,1.77,43%,4.32,49%,0.43,33%,13%,0.0,
2020-06-25 23:33:46.352027,Efrain Escudero,28-12-0,5-9,155,71,Orthodox,Jan 15 1986,2.92,44%,2.30,63%,1.31,40%,66%,0.8,
2020-06-25 23:33:46.629440,Evan Esguerra,8-7-0 (1 NC),,145,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:33:46.914239,Carla Esparza,17-6-0,5-1,115,63,Orthodox,Oct 10 1987,2.30,41%,2.87,53%,3.28,33%,48%,0.3,
2020-06-25 23:33:47.252197,Juan Espino,10-1-0,6-4,250,82,,Oct 09 1980,6.11,95%,1.11,33%,8.33,100%,0%,8.3,
2020-06-25 23:33:47.496653,Jordan Espinosa,15-7-0 (1 NC),5-6,125,69,Orthodox,Nov 08 1989,5.49,60%,2.84,60%,1.19,30%,88%,0.3,
2020-06-25 23:33:47.768812,Jodie Esquibel,6-6-0,5-1,115,64,Orthodox,May 07 1986,4.10,31%,7.37,52%,0.75,21%,83%,0.0,
2020-06-25 23:33:48.042243,Terry Etim,16-5-0,6-1,155,73,Orthodox,Jan 11 1986,2.16,35%,2.53,67%,0.43,30%,39%,1.4,
2020-06-25 23:33:48.366585,Fred Ettish,1-1-0,6-0,180,,Southpaw,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:33:48.604187,Scott Ettling,4-2-0,,135,,,,0.00,0%,0.54,83%,8.04,100%,0%,0.0,
2020-06-25 23:33:48.877884,Sijara Eubanks,6-4-0,5-4,135,67,Orthodox,Apr 27 1985,4.95,41%,3.32,60%,2.00,50%,66%,0.0,
2020-06-25 23:33:49.139094,Billy Evangelista,13-3-0 (1 NC),5-8,155,68,Orthodox,Oct 07 1980,4.51,40%,3.96,61%,1.60,19%,61%,0.2,
2020-06-25 23:33:49.435206,Rashad Evans,19-8-1,6-0,205,75,Orthodox,Sep 25 1979,2.14,37%,2.42,63%,2.98,44%,73%,0.0,
2020-06-25 23:33:49.857251,Doug Evans,13-10-0,5-9,155,,Orthodox,Oct 10 1980,1.79,35%,2.55,55%,3.19,83%,69%,0.6,
2020-06-25 23:33:50.147522,Ashlee Evans-Smith,6-4-0,5-8,125,67,Orthodox,Jul 09 1987,4.86,35%,4.39,57%,1.30,25%,72%,0.0,
2020-06-25 23:33:50.419453,Dan Evensen,11-4-0,6-3,250,,Orthodox,Jun 01 1974,0.27,10%,3.86,38%,0.00,0%,0%,4.0,
2020-06-25 23:33:50.661715,Tonya Evinger,19-8-0 (1 NC),5-7,135,70,Orthodox,Jun 04 1981,1.16,42%,4.02,38%,0.93,30%,33%,0.9,
2020-06-25 23:33:50.947239,Movsar Evloev,12-0-0,5-7,145,72,Orthodox,Feb 11 1994,4.03,38%,3.47,64%,4.50,33%,85%,0.0,
2020-06-25 23:33:51.224845,Andre Ewell,16-6-0,5-8,135,75,Southpaw,Jan 21 1988,3.74,40%,3.95,54%,0.21,50%,66%,0.0,
2020-06-25 23:33:51.499496,Neal Ewing,6-0-0,,185,,,Sep 30 1985,2.27,60%,1.93,48%,5.00,62%,0%,0.0,
2020-06-25 23:33:51.724961,Jessica Eye,15-8-0 (1 NC),5-6,125,66,Orthodox,Jul 27 1986,3.65,36%,3.54,58%,0.40,45%,56%,0.6,
2020-06-25 23:33:52.046066,Edward Faaloloto,2-5-0,,155,70,,Jul 15 1984,2.28,32%,6.25,44%,1.01,25%,33%,0.0,
2020-06-25 23:33:52.287878,Urijah Faber,35-11-0,5-6,135,67,Orthodox,May 14 1979,2.65,40%,2.59,64%,1.54,30%,58%,0.8,
2020-06-25 23:33:52.729401,Melinda Fabian,4-4-2,5-6,125,66,,Jun 25 1987,4.03,41%,4.00,62%,0.00,0%,100%,0.0,
2020-06-25 23:33:52.989308,Wagnney Fabiano,16-4-0,5-6,145,69,Southpaw,Jul 14 1975,1.19,38%,0.66,70%,3.44,64%,100%,0.4,
2020-06-25 23:33:53.253405,Bartosz Fabinski,14-3-0,6-0,170,75,Orthodox,Apr 26 1986,2.22,70%,1.35,53%,7.17,70%,80%,0.0,
2020-06-25 23:33:53.509643,Ron Faircloth,33-20-0 (1 NC),5-9,205,,Orthodox,Aug 16 1979,0.39,40%,8.90,42%,0.00,0%,0%,0.0,
2020-06-25 23:33:53.760259,Jason Fairn,4-5-0,6-1,230,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:33:53.993274,Zarah Fairn,6-4-0,5-8,145,72,Orthodox,Dec 12 1986,1.98,45%,6.61,39%,0.00,0%,50%,0.0,
2020-06-25 23:33:54.269237,Maiquel Falcao,37-10-0 (1 NC),5-11,185,,Orthodox,Mar 08 1981,1.67,55%,0.53,86%,1.00,100%,71%,3.0,
2020-06-25 23:33:54.526767,Brodie Farber,16-7-0,6-1,170,,Orthodox,Jul 05 1980,1.69,45%,2.17,53%,0.90,50%,20%,0.9,
2020-06-25 23:33:54.817536,Joao Paulo Faria,1-1-0,5-9,155,,,,6.69,64%,2.09,85%,1.25,50%,0%,1.2,
2020-06-25 23:33:55.047628,Kalindra Faria,18-8-1,5-7,125,,Switch,Jul 23 1986,2.23,56%,1.44,45%,1.31,66%,20%,0.7,
2020-06-25 23:33:55.295568,Chance Farrar,8-3-0 (1 NC),5-9,145,,Southpaw,Sep 11 1975,0.81,22%,2.21,67%,3.02,100%,0%,0.0,
2020-06-25 23:33:55.540910,Rico Farrington,7-3-0,6-4,170,79,Southpaw,Jun 19 1989,6.33,41%,7.20,51%,0.00,0%,20%,0.0,
2020-06-25 23:33:55.788778,Kelly Faszholz,4-2-0,5-8,135,,Orthodox,Apr 09 1985,4.01,48%,3.61,52%,0.00,0%,44%,0.0,
2020-06-25 23:33:56.064333,Rodney Faverus,25-20-3 (1 NC),6-0,215,,Southpaw,,2.30,53%,1.60,54%,4.50,100%,25%,0.0,
2020-06-25 23:33:56.327694,Paul Felder,17-5-0,5-11,155,70,Orthodox,Apr 25 1984,3.67,43%,3.40,49%,0.25,25%,61%,0.2,
2020-06-25 23:33:56.465151,Carlos Felipe,8-0-0,6-0,245,,,Jan 12 1995,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:33:56.721771,JP Felty,4-5-0,,170,,,Apr 28 1979,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:33:56.953098,Kevin Ferguson,5-2-0 (1 NC),6-2,235,77,Orthodox,Feb 08 1974,2.30,50%,3.41,38%,3.10,72%,36%,1.2,
2020-06-25 23:33:57.236501,Rhadi Ferguson,3-0-0,5-7,205,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:33:57.486048,Tony Ferguson,26-4-0,5-11,155,76,Orthodox,Feb 12 1984,5.80,45%,4.04,59%,0.49,42%,75%,1.2,
2020-06-25 23:33:57.833219,Josh Ferguson,10-5-0,5-5,125,,Orthodox,May 13 1988,2.13,43%,4.18,32%,0.59,11%,54%,0.0,
2020-06-25 23:33:58.114737,CJ Fernandes,14-8-3,6-2,170,,,Nov 13 1977,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:33:58.364679,Bibiano Fernandes,20-3-0,5-7,139,,Orthodox,Mar 30 1980,2.91,40%,2.02,72%,3.97,53%,77%,0.6,
2020-06-25 23:33:58.653187,Alexandre Ferreira,18-6-0,5-7,205,,Orthodox,Apr 25 1979,2.57,60%,8.14,42%,0.00,0%,0%,0.0,
2020-06-25 23:33:58.909801,Cezar Ferreira,13-8-0,6-1,185,78,Southpaw,Feb 15 1985,1.90,42%,2.44,53%,2.69,53%,84%,0.5,
2020-06-25 23:33:59.262316,Diego Ferreira,17-2-0,5-9,155,74,Orthodox,Jan 18 1985,5.07,36%,3.11,61%,1.04,27%,70%,1.0,
2020-06-25 23:33:59.568545,Scott Ferrozzo,4-2-0,5-11,323,,Orthodox,Apr 26 1965,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:33:59.935314,Drew Fickett,42-21-0,5-10,155,70,Orthodox,Dec 14 1979,2.33,41%,2.29,57%,1.30,35%,30%,2.2,
2020-06-25 23:34:00.231216,Scott Fiedler,0-1-0,6-4,235,,Orthodox,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:34:00.485805,Ron Fields,28-32-1,6-2,200,,Orthodox,Nov 18 1974,0.33,33%,2.64,11%,0.00,0%,0%,0.0,
2020-06-25 23:34:00.788414,Deiveson Figueiredo,18-1-0,5-5,125,68,Orthodox,Dec 18 1987,2.54,52%,2.76,52%,1.81,50%,61%,2.4,
2020-06-25 23:34:01.118897,Anthony Figueroa,11-8-1,5-4,135,,Orthodox,,2.37,48%,3.77,49%,0.00,0%,58%,0.0,
2020-06-25 23:34:01.373693,Edwin Figueroa,9-5-0,5-7,135,69,Orthodox,Jul 31 1984,2.57,39%,3.06,51%,0.20,100%,37%,0.6,
2020-06-25 23:34:01.656604,Paulo Filho,23-6-3,5-8,185,,Southpaw,May 24 1978,1.86,48%,1.67,66%,2.40,32%,42%,1.6,
2020-06-25 23:34:01.969785,Andre Fili,21-7-0,5-11,145,74,Orthodox,Jun 25 1990,3.90,36%,3.97,53%,2.71,49%,69%,0.2,
2020-06-25 23:34:02.376207,Mirko Filipovic,35-11-2 (1 NC),6-2,230,73,Southpaw,Sep 10 1974,2.11,50%,1.89,63%,0.19,40%,78%,0.3,
2020-06-25 23:34:03.017291,Brady Fink,2-3-0,6-0,183,,Orthodox,,1.69,41%,1.69,61%,3.63,25%,0%,3.6,
2020-06-25 23:34:03.280681,Jesse Finney,5-1-0,6-0,170,,,Jul 11 1974,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:34:03.532136,Jan Finney,11-12-0,5-8,135,,Orthodox,,2.16,28%,8.75,42%,0.77,11%,25%,0.0,
2020-06-25 23:34:03.804874,Luigi Fioravanti,26-15-0,5-8,170,70,Orthodox,Jan 22 1981,2.23,42%,2.21,69%,3.76,63%,67%,0.9,
2020-06-25 23:34:04.129221,Luiz Firmino,19-8-0,5-6,154,,Orthodox,Mar 18 1982,1.23,50%,1.22,51%,3.86,45%,20%,0.9,
2020-06-25 23:34:04.410465,Spencer Fisher,24-9-0,5-7,155,68,Southpaw,May 09 1976,3.17,43%,3.03,64%,0.67,30%,60%,0.8,
2020-06-25 23:34:04.770079,Chris Fishgold,18-3-1,5-8,145,68,Orthodox,Jun 06 1992,2.53,31%,2.53,53%,4.55,50%,33%,1.5,
2020-06-25 23:34:05.053132,Bryanna Fissori,2-4-0,5-4,145,,,,1.40,46%,1.20,57%,2.00,25%,50%,0.0,
2020-06-25 23:34:05.316646,Jon Fitch,30-7-1 (1 NC),6-0,170,74,Orthodox,Feb 24 1978,2.61,50%,1.65,54%,3.60,51%,56%,0.8,
2020-06-25 23:34:05.721474,Rafael Fiziev,7-1-0,5-8,155,71,Switch,Mar 05 1993,4.08,50%,3.96,55%,0.91,100%,100%,0.0,
2020-06-25 23:34:05.987470,Colin Fletcher,14-8-0,6-2,155,,Orthodox,Jan 08 1983,3.10,34%,2.97,62%,0.00,0%,27%,0.0,
2020-06-25 23:34:06.289971,Luke Flores,7-1-0,6-0,155,,Southpaw,Mar 17 1988,2.11,46%,2.34,62%,0.00,0%,50%,1.8,
2020-06-25 23:34:06.536117,Kenny Florian,14-6-0,5-10,145,74,Southpaw,May 26 1976,2.41,40%,1.85,63%,2.22,33%,60%,1.3,
2020-06-25 23:34:06.917828,Cody Floyd,2-0-0,,,,,Jul 18 1988,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:34:07.177045,Bobby Flynn,6-4-0,,170,,,,0.38,25%,0.77,0%,0.00,0%,0%,0.0,
2020-06-25 23:34:07.408633,Caros Fodor,11-6-0,5-9,155,74,Orthodox,Jan 07 1984,2.76,54%,2.83,54%,2.10,25%,50%,0.0,
2020-06-25 23:34:07.741797,Mal Foki,5-5-0,5-7,220,,Orthodox,,2.86,14%,14.29,54%,0.00,0%,0%,0.0,
2020-06-25 23:34:07.985439,Matt Foki,5-4-0 (1 NC),5-7,220,,Orthodox,,0.00,0%,3.37,56%,0.00,0%,0%,0.0,
2020-06-25 23:34:08.242527,AJ Fonseca,5-4-0,5-4,145,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:34:08.485908,Rob Font,17-4-0,5-8,135,71,Orthodox,Jun 25 1987,5.11,41%,3.89,63%,1.25,36%,50%,0.8,
2020-06-25 23:34:08.801903,Claudionor Fontinelle,10-15-1,5-5,185,,Orthodox,,2.62,42%,10.25,28%,0.00,0%,0%,0.0,
2020-06-25 23:34:09.044270,Jesse Forbes,15-5-0,6-2,185,75,Southpaw,Oct 24 1984,2.11,24%,4.06,53%,1.79,75%,66%,1.2,
2020-06-25 23:34:09.294262,Sterling Ford,15-7-0,5-10,155,,,Mar 12 1986,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:34:09.538730,Codale Ford,11-9-0,5-9,170,,,May 13 1979,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:34:09.771259,Jussier Formiga,23-8-0,5-5,125,67,Orthodox,Apr 14 1985,1.42,39%,2.34,64%,1.82,35%,87%,0.6,
2020-06-25 23:34:10.114329,Renee Forte,8-4-0,5-7,155,71,Orthodox,Mar 27 1987,2.08,32%,2.12,63%,2.32,58%,66%,0.0,
2020-06-25 23:34:10.383401,Marcel Fortuna,9-3-0,6-1,205,74,Orthodox,Oct 22 1985,3.83,46%,4.52,64%,0.45,8%,75%,0.5,
2020-06-25 23:34:10.642716,Brian Foster,27-10-0,5-9,170,71,Orthodox,Apr 03 1984,3.30,39%,1.63,65%,3.67,60%,37%,1.8,
2020-06-25 23:34:10.915370,Xavier Foupa-Pokam,32-22-0,6-1,185,,Open Stance,Jul 03 1982,1.47,43%,2.50,49%,0.00,0%,16%,0.0,
2020-06-25 23:34:11.155260,Mason Fowler,2-0-0,5-11,170,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:34:11.377026,Brandon Foxworth,18-4-0,5-11,145,,Orthodox,Apr 28 1979,1.33,32%,4.59,50%,0.00,0%,0%,0.0,
2020-06-25 23:34:11.691467,Hermes Franca,24-17-0 (1 NC),5-6,155,71,Orthodox,Aug 26 1974,1.78,39%,2.85,55%,1.53,36%,37%,2.4,
2020-06-25 23:34:12.034384,Glaico Franca Moreira,15-5-0,6-0,155,77,Orthodox,Feb 28 1991,2.35,42%,3.46,47%,2.68,42%,76%,0.3,
2020-06-25 23:34:12.311300,Francisco France,13-5-1,6-0,205,,,Jan 21 1983,0.54,33%,3.51,27%,0.00,0%,0%,6.1,
2020-06-25 23:34:12.570468,John Franchi,6-2-0,5-6,145,67,Orthodox,Jul 16 1982,1.83,48%,2.59,48%,2.68,80%,40%,0.3,
2020-06-25 23:34:12.849309,Rich Franklin,29-7-0 (1 NC),6-1,185,76,Southpaw,Oct 05 1974,4.10,44%,2.07,62%,1.31,66%,63%,0.7,
2020-06-25 23:34:13.292966,Zoila Frausto,13-5-0,5-4,135,,Orthodox,,0.77,31%,1.64,53%,0.00,0%,57%,0.0,
2020-06-25 23:34:13.570472,Zane Frazier,4-11-0,6-5,250,,Orthodox,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:34:13.862754,Gary Frazier,3-3-0,6-0,245,,Orthodox,,1.50,39%,2.77,46%,0.00,0%,100%,0.0,
2020-06-25 23:34:14.113265,Justin Frazier,10-3-0,6-0,265,75,Southpaw,Jun 15 1989,1.11,66%,6.11,4%,0.00,0%,0%,0.0,
2020-06-25 23:34:14.367080,Ian Freeman,20-7-1,5-11,225,,Orthodox,Nov 10 1966,2.54,48%,3.11,44%,1.44,40%,80%,0.7,
2020-06-25 23:34:14.619805,Jason Freeman,6-4-0 (1 NC),6-2,225,,,Sep 02 1976,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:34:14.864761,Willamy Freire,26-6-0,5-8,155,,,Jul 28 1987,1.53,37%,0.93,62%,0.50,100%,73%,0.0,
2020-06-25 23:34:15.113780,Patricio Freire,26-4-0,5-5,145,65,,Jul 07 1987,2.84,41%,4.43,60%,0.60,18%,94%,0.6,
2020-06-25 23:34:15.344826,Patricky Freire,17-8-0,5-7,155,71,,Jun 01 1986,3.06,44%,3.34,69%,1.26,33%,100%,0.0,
2020-06-25 23:34:15.581511,Jeremy  Freitag,6-10-0,6-1,205,,,,0.00,0%,8.37,19%,0.00,0%,33%,1.9,
2020-06-25 23:34:15.818022,Rafael Freitas,3-6-0 (1 NC),,205,,Orthodox,,2.00,29%,8.00,51%,11.25,50%,0%,0.0,
2020-06-25 23:34:16.064969,Donavon Frelow,6-3-0,5-7,135,,Orthodox,Jan 20 1985,2.40,27%,3.20,52%,1.00,100%,26%,0.0,
2020-06-25 23:34:16.313128,Clay French,19-7-0,5-7,161,,Southpaw,Oct 07 1980,1.52,50%,1.27,16%,0.00,0%,100%,0.0,
2020-06-25 23:34:16.571621,Mike French,9-10-0,5-10,145,,,May 29 1975,0.23,23%,2.17,42%,0.00,0%,22%,1.0,
2020-06-25 23:34:16.940081,Matt Frevola,8-1-1,5-9,155,71,Orthodox,Jun 11 1990,3.19,39%,3.47,60%,3.30,40%,75%,1.4,
2020-06-25 23:34:17.171658,Jinh Yu Frey,9-4-0,5-2,115,,Southpaw,May 20 1985,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:34:17.410566,Artem Frolov,11-0-0,5-10,185,,,Sep 07 1991,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:34:17.633373,Sarah Frota,9-2-0,5-6,125,69,Southpaw,Apr 14 1987,4.52,52%,2.57,55%,0.00,0%,53%,0.0,
2020-06-25 23:34:17.880833,Don Frye,20-9-1 (1 NC),6-1,219,,Orthodox,Nov 23 1965,2.87,64%,3.57,37%,0.91,57%,45%,0.7,
2020-06-25 23:34:18.233532,Tony Fryklund,14-9-1,6-0,185,,Orthodox,Mar 26 1971,3.49,39%,6.50,43%,0.00,0%,66%,0.5,
2020-06-25 23:34:18.527527,Jesse Fujarczyk,2-2-0,6-4,225,,Southpaw,Jan 28 1983,1.03,33%,4.91,38%,0.00,0%,25%,0.0,
2020-06-25 23:34:18.829268,Katsuhisa Fujii,9-18-1,6-0,205,,Orthodox,Aug 15 1972,4.00,50%,4.43,64%,2.14,25%,50%,2.1,
2020-06-25 23:34:19.103205,Megumi Fujii,26-3-0,5-3,113,,,Apr 26 1974,2.40,42%,0.00,100%,0.00,0%,0%,12.0,
2020-06-25 23:34:19.327311,Kazuyuki Fujita,15-12-0,6-0,235,,Orthodox,Oct 16 1970,1.05,49%,1.99,52%,2.78,36%,85%,0.6,
2020-06-25 23:34:19.672676,Keisuke Fujiwara,17-12-5,5-6,139,,Switch,,0.73,44%,1.20,47%,0.00,0%,23%,2.5,
2020-06-25 23:34:19.951507,Riki Fukuda,24-9-0 (1 NC),6-0,185,73,Southpaw,Jan 06 1981,4.24,43%,3.71,64%,2.17,43%,70%,0.0,
2020-06-25 23:34:20.242571,Masio Fullen,11-7-0,5-10,145,70,Orthodox,Oct 06 1986,2.46,32%,3.50,54%,0.47,33%,69%,0.0,
2020-06-25 23:34:20.512498,Travis Fulton,253-53-10 (1 NC),6-0,240,,Orthodox,May 29 1977,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:34:20.769609,Sam Fulton,0-2-0,,,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:34:21.007586,Masakatsu Funaki,39-13-2,6-0,185,,Southpaw,Mar 13 1969,1.82,68%,2.92,35%,0.00,0%,0%,5.5,
2020-06-25 23:34:21.274242,Ricardo Funch,9-6-0,5-10,170,74,Southpaw,Aug 14 1980,2.61,65%,3.57,40%,1.24,18%,60%,0.0,
2020-06-25 23:34:21.580039,Katsuaki Furuki,1-1-0,6-0,168,,,Nov 10 1980,0.27,10%,2.67,39%,0.00,0%,0%,3.0,
2020-06-25 23:34:21.826457,James Gabert,6-4-0,,178,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:34:22.086581,Gustavo Gabriel,13-1-0,5-6,125,,Orthodox,Apr 01 1994,4.06,65%,4.26,46%,0.00,0%,50%,0.0,
2020-06-25 23:34:22.361577,Claudia Gadelha,18-4-0,5-4,115,63,Orthodox,Dec 07 1988,3.40,41%,4.53,57%,3.13,45%,58%,0.7,
2020-06-25 23:34:22.734919,Alavutdin Gadjiev,18-13-1,6-2,185,,Orthodox,Jun 23 1982,0.99,27%,0.99,57%,0.00,0%,50%,0.0,
2020-06-25 23:34:23.002152,Justin Gaethje,22-2-0,5-11,155,70,Orthodox,Nov 14 1988,7.74,59%,8.37,54%,0.00,0%,80%,0.0,
2020-06-25 23:34:23.279716,Sheila Gaff,9-7-0,5-5,135,,Orthodox,Dec 29 1989,1.60,50%,2.89,28%,0.00,0%,20%,0.0,
2020-06-25 23:34:23.590332,Muin Gafurov,16-2-0,5-7,135,,,May 17 1996,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:34:23.858436,Mitch Gagnon,12-5-0,5-5,135,65,Southpaw,Oct 10 1984,2.76,46%,2.21,61%,1.16,25%,65%,1.9,
